#{"t_start": 1787711273.1771019, "env_id": "None"}
r,l,t
226.596527,200,284.046512
227.818769,200,285.060994
230.909977,200,285.463633
227.097092,200,285.860073
220.145205,200,286.271214
227.355507,200,286.666041
221.370585,200,287.062661
229.306423,200,287.514755
230.693289,200,287.937467
229.644443,200,288.467628
226.110865,200,288.862702
220.780893,200,289.86535
230.057679,200,290.258903
232.487552,200,290.668827
229.73254,200,291.071045
215.401866,200,291.477781
229.199963,200,291.869747
232.709586,200,292.259612
228.333856,200,292.667916
231.836062,200,293.055512
224.896853,200,293.466734
229.324851,200,294.515012
226.683174,200,294.912218
233.180139,200,295.308287
229.803277,200,295.686827
228.140486,200,296.080254
227.315038,200,296.483097
221.412473,200,296.900693
232.439623,200,297.283708
227.511675,200,297.674508
225.189992,200,298.064519
221.508872,200,299.020647
228.815932,200,299.412117
226.556705,200,299.808099
230.766387,200,300.275743
234.236094,200,300.676192
232.629228,200,301.091057
228.392163,200,301.488326
233.724351,200,301.891168
228.458101,200,302.301175
233.105829,200,302.702732
228.776428,200,303.117114
229.786157,200,304.213267
231.021256,200,304.610575
231.072322,200,305.024903
227.580156,200,305.444986
220.451364,200,305.844451
230.564028,200,306.261289
228.057905,200,306.65344
231.015032,200,307.049989
220.517614,200,307.505382
217.428704,200,307.899845
228.510457,200,308.880376
231.08927,200,309.290982
229.99199,200,309.684702
231.811031,200,310.090621
221.774947,200,310.480335
229.213436,200,310.867321
234.068702,200,311.28839
230.563277,200,311.715324
226.519651,200,312.149019
232.500808,200,312.555652
224.250644,200,313.572969
223.842754,200,313.995251
231.536833,200,314.384143
220.897648,200,314.773828
224.305324,200,315.187949
228.147906,200,315.578669
230.498696,200,315.968267
219.890103,200,316.359098
230.215471,200,316.752977
230.933942,200,317.174434
231.038603,200,318.259095
228.302641,200,318.64354
233.50522,200,319.040223
229.232866,200,319.439615
227.977742,200,319.830282
232.125782,200,320.217113
217.2094,200,320.610626
226.671677,200,321.00606
224.753358,200,321.40624
230.570893,200,321.790138
234.013279,200,322.190459
233.67196,200,323.261912
224.319541,200,323.661853
225.351264,200,324.048907
233.901346,200,324.442572
230.34422,200,324.83022
230.07006,200,325.235523
222.510179,200,325.630346
233.689105,200,326.018173
232.262054,200,326.401855
224.445865,200,326.785582
225.608236,200,327.757192
229.185352,200,328.136686
230.62809,200,328.522073
230.404096,200,328.911113
233.360737,200,329.291372
229.770918,200,329.676365
222.983232,200,330.059747
231.50129,200,330.448362
221.548307,200,330.835401
231.85301,200,331.227443
228.662344,200,332.206226
230.792591,200,332.621782
232.362448,200,333.015259
234.376973,200,333.422561
233.287479,200,333.821947
231.895442,200,334.218868
227.130064,200,334.611037
231.079155,200,335.026251
233.722108,200,335.415436
223.5476,200,335.875937
227.003291,200,336.859394
228.56512,200,337.240503
224.198343,200,337.629182
233.66958,200,338.014204
233.27667,200,338.395196
232.069246,200,338.787622
229.091431,200,339.175815
218.888209,200,339.580271
229.096352,200,339.964345
230.230665,200,340.346984
232.027307,200,340.731391
232.944298,200,341.652513
229.90691,200,342.039502
233.534287,200,342.423076
233.998877,200,342.813269
232.958185,200,343.198326
233.122151,200,343.576945
232.753216,200,343.956197
234.178939,200,344.34445
232.426795,200,344.781837
231.117545,200,345.166471
